x,y,z,price,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1775.6602333749825,5747.296149431896,2098.870816971832,7300000,8,7,0,9,4,600,1,2,1,1,1,1,0,0,0,1,1
1763.1297982313777,5753.4722883707245,2092.5035105200486,4500000,8,1,0,0,5,375,1,1,0,0,2,0,0,0,0,1,1
1775.9320775505018,5750.062964835558,2091.048099961757,14000000,22,17,2,0,4,975,2,2,0,1,2,0,0,0,0,1,2
1772.2931830833215,5750.658930822574,2092.4960536514677,8000000,7,5,0,15,2,630,1,2,0,0,1,1,1,0,0,1,2
1772.923303307013,5750.166772005546,2093.314609587931,9000000,8,3,0,10,1,650,1,2,0,0,1,1,0,0,0,1,1
1774.831804214338,5754.712483432595,2079.157834262307,3500000,20,15,0,1,0,300,1,1,0,0,1,0,0,0,1,1,2
1768.5392708229458,5754.985963723927,2083.7577606088535,8500000,16,12,0,1,4,675,1,2,0,0,2,2,0,0,0,1,1
1763.231932916992,5753.7751055701265,2091.5846110696302,9500000,8,6,0,15,1,650,1,1,0,0,1,0,0,0,0,1,1
1777.2688009764447,5751.182542868801,2086.8291659062334,4000000,8,3,1,10,3,400,1,1,0,0,1,0,0,0,0,1,1
1773.0217763217574,5748.581799812774,2097.5800512853284,12600000,13,1,2,3,2,1015,2,2,0,0,2,0,0,0,0,1,1
1779.2220964343865,5749.68673054643,2089.2851007313297,2100000,4,3,1,8,0,275,1,1,0,0,0,0,0,0,0,1,1
1763.0927167384116,5753.566000726884,2092.277072345729,1600000,5,4,1,2,4,250,1,1,0,0,0,0,0,0,0,0,0
1777.1022679576797,5748.1518797832005,2095.303914988116,12000000,24,3,2,1,2,1000,2,2,0,0,2,1,1,0,0,1,0
1771.736689581026,5748.2212521824,2099.65295674096,5900000,4,0,0,12,1,485,1,1,0,0,0,2,0,0,0,1,1
1771.2830926017114,5749.652511806549,2096.113832629315,8000000,8,5,0,10,3,570,1,2,1,1,2,1,1,0,0,1,2
1771.1867328725534,5751.756864119692,2090.4142013840847,4000000,20,1,0,2,4,526,1,1,0,0,2,1,0,0,0,1,2
1772.9105029023244,5750.227912166639,2093.1574969023063,5800000,16,7,1,1,1,410,1,2,0,0,2,0,0,0,0,1,2
1776.5619502228608,5748.5747329552905,2094.60191364573,11000000,20,5,2,2,3,950,2,2,1,1,2,1,0,0,0,0,2
1770.888136727766,5754.2573409027245,2083.77509867643,6500000,3,0,0,15,2,630,1,1,0,0,0,1,0,0,0,1,0
1773.595121270549,5755.276334064938,2078.6523673662596,8000000,8,7,0,4,5,652,1,1,0,0,2,1,0,0,1,1,1
1772.049939559322,5749.839001543266,2094.9538104788244,15200000,20,12,2,1,0,1120,2,2,1,1,3,1,1,0,2,1,2
1767.3552421715965,5756.778754690301,2079.806437511667,2350000,7,1,0,15,7,325,1,1,0,0,2,0,0,0,0,1,0
1766.283768894233,5753.4189411475545,2089.9887883396236,7500000,23,3,0,0,1,695,1,1,0,0,2,0,0,0,0,1,1
1774.3224194241188,5747.657546203026,2099.012549630031,12700000,13,11,2,0,1,1100,2,2,0,0,2,0,0,0,0,0,1
1774.1029903103451,5750.371822421285,2091.7512958464245,10900000,27,4,2,0,7,1200,2,2,0,0,2,0,0,0,0,0,1
1777.783540304481,5748.814811627406,2092.905861579974,4500000,8,1,0,1,5,770,1,2,0,0,1,2,0,0,0,1,2
1766.3421047180507,5753.394926654747,2090.005594979025,7500000,23,1,0,0,1,695,1,2,0,0,2,0,0,0,0,1,1
1764.449812715537,5753.718067006474,2090.7142951181545,4000000,5,0,0,0,5,350,1,1,0,0,0,0,0,0,0,0,0
1764.3743202437954,5753.340777516529,2091.815994735137,4200000,9,1,0,0,1,375,1,1,0,0,2,0,0,0,0,1,1
1771.9826741451418,5748.121153794116,2099.7194107389746,14500000,22,14,2,0,2,1050,2,2,0,0,2,2,0,0,0,1,2
1773.3882096782918,5748.0201152499885,2098.809189148821,16000000,22,14,3,0,6,1250,3,2,0,0,2,0,0,0,0,0,2
1773.9831228892751,5747.831247570481,2098.8236774813636,15800000,12,10,2,2,5,1210,2,3,0,0,1,1,0,0,0,1,1
1766.4647974956342,5752.995049725244,2091.0024096221273,5800000,8,7,0,6,1,550,1,1,0,0,1,0,0,0,0,1,2
1777.5522295933822,5756.289571205069,2072.457344193933,3000000,24,20,0,5,7,325,1,1,0,0,3,1,0,0,0,1,1
1773.0314355526973,5747.517846965046,2100.485450404314,8700000,13,10,0,1,5,645,1,2,0,0,2,2,0,0,0,1,2
1773.0235726238927,5748.582280190967,2097.5772164081186,13000000,17,7,2,0,3,1030,2,2,0,0,2,0,0,0,0,1,1
1771.2408694346325,5749.678802515817,2096.077396076951,6900000,8,3,0,8,5,575,1,2,1,1,2,0,1,0,0,1,2
1777.9649706245978,5748.726086999316,2092.9954466948566,12000000,13,11,2,1,0,1000,2,2,0,0,2,1,0,0,0,1,0
1775.2635683671833,5748.83543664144,2094.987204076397,14200000,23,15,2,1,0,1070,2,2,0,1,2,0,0,0,2,1,2
1772.1235134824321,5748.0890863819095,2099.6883359155636,14200000,22,11,2,0,2,1050,2,2,0,0,2,2,0,0,0,1,2
1773.8243252829486,5750.681371541299,2091.13653931119,7500000,20,11,0,1,4,510,1,1,0,0,2,0,0,0,0,1,1
1775.6831520670455,5748.019490819108,2096.869637490345,11000000,9,7,2,1,7,870,2,2,0,0,1,1,0,0,0,1,1
1772.4398160000362,5750.488569237227,2092.8400114986694,12000000,7,7,2,1,5,1000,2,2,0,0,1,2,0,0,0,1,1
1771.9929976127996,5750.7240353462985,2092.5713573738853,6900000,7,2,0,8,7,535,1,1,0,0,1,2,1,0,0,1,1
1777.130327752818,5747.935480726185,2095.873685981622,8000000,8,5,0,4,1,650,1,2,0,0,1,0,0,0,0,1,1
1776.4667961481284,5748.3112899319485,2095.4054586700163,3300000,8,3,1,15,2,300,1,1,0,0,1,0,0,0,0,1,1
1772.7602000328202,5747.617587024088,2100.4414646714145,8000000,4,3,0,15,0,550,1,1,0,0,0,1,1,0,0,0,1
1771.0953330660636,5751.909411171873,2090.0718760042787,3300000,13,3,1,7,0,420,1,1,0,0,2,0,0,0,0,1,1
1777.1342425344176,5748.178510566785,2095.2037358380776,8250000,18,12,0,3,4,700,1,2,0,0,2,0,0,0,0,0,1
1763.091392779883,5753.481383615871,2092.510862359166,4500000,8,3,0,0,5,400,1,1,0,0,2,0,0,0,0,1,1
1773.1670116066075,5752.485128940686,2086.7282022981217,3200000,8,7,0,3,6,350,1,1,0,0,2,2,0,0,0,0,2
1776.4787637153383,5748.302002783245,2095.4207899289704,3300000,8,7,1,13,3,325,1,1,0,0,1,0,0,0,0,0,1
1777.0287445097024,5748.2493240158055,2095.098935644354,6800000,4,3,0,15,6,550,1,1,0,0,0,0,0,0,0,1,1
1770.7186263617707,5755.06494368508,2081.687786442176,11000000,12,6,2,1,3,1100,2,0,0,0,2,1,1,0,0,1,2
1771.2656505165917,5749.6526023641345,2096.1283232253136,7500000,9,3,0,8,2,570,1,2,1,1,2,0,1,0,1,1,2
1773.464006446415,5755.30307120321,2078.6902069423268,8600000,8,4,0,7,3,650,1,1,0,0,1,0,1,0,0,1,1
1777.005436574349,5747.889509616336,2096.1056422870674,7600000,8,2,0,8,3,610,1,1,0,0,1,0,0,0,0,0,1
1777.834824825407,5748.787978462218,2092.936003399601,6500000,13,8,0,1,1,700,1,2,0,0,2,1,0,0,0,1,2
1773.9765649358437,5747.165349624873,2100.6519443091083,12500000,10,7,2,1,5,850,2,2,0,0,2,1,1,0,0,1,2
1776.6268468806804,5748.257308276074,2095.4178496885816,3180000,8,4,1,15,7,350,1,1,0,0,1,0,0,0,0,1,1
1771.7390337266952,5749.887710926328,2095.083079046652,8600000,7,2,0,12,5,670,1,2,0,0,1,0,1,0,0,1,1
1766.64952623767,5753.483942004241,2089.5006533962987,7800000,7,7,0,8,0,625,1,1,0,0,1,1,1,0,0,0,1
1775.6602333749825,5747.296149431896,2098.870816971832,8000000,8,6,0,9,1,655,1,2,1,1,1,1,0,0,0,1,1
1764.2852551999993,5753.483101030131,2091.499640077564,4500000,5,4,0,0,5,380,1,1,0,0,0,0,0,0,0,0,0
1772.250395232418,5747.339108206393,2101.6333438256765,6200000,5,0,0,8,7,540,1,1,0,0,0,0,1,0,0,1,1
1775.1208289295569,5748.761485998948,2095.311055618142,9400000,15,5,0,0,5,650,1,2,0,0,2,0,0,0,0,0,1
1773.3882096782918,5748.0201152499885,2098.809189148821,16000000,22,9,3,0,4,1250,3,2,0,0,2,0,0,0,0,0,2
1772.049939559322,5749.839001543266,2094.9538104788244,15200000,20,16,2,1,1,1120,2,2,1,1,3,1,1,0,2,1,2
1771.9485196926203,5750.903544263169,2092.115644064745,8000000,7,6,0,8,4,585,1,2,0,0,1,1,0,0,0,1,2
1775.131795923449,5749.943273999259,2092.056512834265,9800000,22,7,0,1,4,775,1,2,1,1,3,1,0,0,2,1,2
1775.7010528966273,5748.006644786157,2096.889692434009,12000000,9,8,2,1,5,850,2,2,0,0,1,0,0,0,0,1,1
1773.4917919754987,5747.226017123659,2100.8952786591854,8500000,9,4,0,15,7,575,1,2,0,0,2,0,1,0,0,1,1
1766.2789118179908,5753.380213260701,2090.099501776724,6000000,23,8,1,0,3,515,1,1,0,0,2,0,0,0,0,1,1
1777.2074410935088,5747.875263521243,2095.973441225452,11619150,22,1,2,0,4,1091,2,2,0,1,4,0,0,0,0,0,2
1775.7650764921527,5748.184720102433,2096.347255750281,8500000,8,7,0,14,4,610,1,1,0,0,1,0,1,0,0,0,1
1775.5042752255756,5750.209055566894,2091.0096570633527,7400000,8,2,0,0,5,510,1,1,0,0,1,0,0,0,0,0,1
1770.9843553072262,5751.783142100773,2090.5133578866225,3400000,21,7,1,8,0,425,1,2,0,0,2,1,0,0,0,1,1
1773.7578015884544,5749.757030149292,2093.7331146908114,3200000,8,7,1,5,3,325,1,1,0,0,1,1,0,0,0,1,1
1764.5309386007207,5752.591370480902,2093.744036645723,3700000,6,5,1,10,5,300,1,1,0,0,1,1,0,0,0,0,1
1771.0256867835842,5751.754610546623,2090.5568437161423,3500000,21,19,0,5,1,540,1,1,0,0,2,1,0,0,2,1,2
1779.2333874705373,5749.755910455584,2089.0850923529165,3500000,4,1,0,13,5,480,1,1,0,0,0,0,0,0,0,0,0
1766.2871656991804,5753.417478604818,2089.989943796604,7500000,23,1,0,0,1,695,1,2,0,0,2,0,0,0,0,1,1
1773.687685613567,5748.719041319059,2096.64073648264,19000000,35,22,2,3,1,1307,2,2,1,1,4,1,1,0,2,0,2
1773.3882096782918,5748.0201152499885,2098.809189148821,16000000,22,5,3,0,0,1250,3,2,0,0,2,0,0,0,0,0,2
1770.7188827304117,5755.067563735081,2081.68032492655,11000000,12,6,2,1,7,1060,2,0,0,0,2,1,1,0,0,1,1
1776.957057175931,5748.129782705001,2095.487680262619,7800000,8,3,0,7,1,625,1,2,0,0,1,1,0,0,0,0,1
1766.2658967611017,5753.420497591438,2089.9996076156067,12000000,22,3,2,0,7,1060,2,2,0,0,2,0,0,0,0,1,2
1766.313300681375,5753.390223524876,2090.042884651998,7500000,23,13,0,0,5,600,1,1,0,0,2,0,0,0,0,1,1
1771.5466482712754,5748.098307336713,2100.149833271811,6700000,8,1,0,6,3,480,1,1,0,0,1,2,1,0,0,1,2
1774.3224194241188,5747.657546203026,2099.012549630031,12900000,13,11,2,0,4,1100,2,1,0,0,2,0,0,0,0,0,1
1766.2408599936934,5753.4083796470995,2090.0541240588195,6000000,23,8,1,0,1,515,1,1,0,0,2,0,0,0,0,1,1
1763.808286391881,5753.199765708448,2092.681004049019,3500000,5,0,1,10,0,325,1,1,0,0,1,0,0,0,0,1,0
1766.2651344671542,5753.061544665117,2090.988124801557,8450000,14,5,0,1,3,632,1,2,0,1,3,1,0,0,0,1,2
1766.3413671134806,5753.394313632448,2090.0079058906676,7500000,23,3,0,0,5,695,1,1,0,0,1,0,0,0,0,1,1
1777.1540899323545,5747.897158002964,2095.9586354835715,7500000,22,3,0,1,6,700,1,2,0,0,2,1,0,0,0,1,2
1771.3546118176014,5747.997376245311,2100.5880133594806,6200000,7,0,0,12,1,580,1,1,0,0,1,0,0,0,0,1,1
